# Rime user dictionary
#@/db_name	withdewhua.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	31290
#@/user_id	withdewhua-win
a 	啊	c=189 d=8.54227 t=31290
a a 	啊啊	c=1 d=0.0784731 t=31290
a fan ge 	阿凡哥	c=4 d=0.584658 t=31290
a le 	啊嘞	c=1 d=1 t=29565
a li 	阿里	c=2 d=0.625009 t=31290
a li yun 	阿里雲	c=5 d=0.950835 t=31290
a li yun guo ji 	阿里雲國際	c=1 d=0.276651 t=31290
a ni 	阿尼	c=0 d=0.00374406 t=31290
a yi 	阿姨	c=1 d=0.0108583 t=31290
a yi shang lai 	阿姨上來	c=1 d=0.00960953 t=31290
a zhen 	啊臻	c=1 d=0.767206 t=31290
ai 	唉	c=11 d=1.08749 t=31290
ai 	愛	c=3 d=0.306551 t=31290
ai de 	愛得	c=0 d=7.50328e-05 t=31290
ai de shen chen 	愛得深沉	c=1 d=0.000754089 t=31290
ai ni 	愛你	c=0 d=0.000597602 t=31290
ai ni o 	愛你哦	c=1 d=7.01412e-05 t=31290
ai qi yi 	愛奇藝	c=8 d=0.503305 t=31290
ai qing 	愛情	c=0 d=0.00115624 t=31290
ai qing ti shi 	愛情提示	c=1 d=0.0116203 t=31290
ai si 	愛死	c=0 d=0.0251579 t=31290
ai si ji 	愛死機	c=1 d=0.25284 t=31290
ai te 	艾特	c=1 d=0.514274 t=31290
ai te cuo le 	艾特錯了	c=1 d=1 t=28412
ai te cuo ren le 	艾特錯人了	c=1 d=0.429557 t=31290
ai te ge sha 	艾特個啥	c=1 d=0.086726 t=31290
ai xin xi 	愛信息	c=1 d=0.470011 t=31290
ai ya 	哎呀	c=5 d=0.995012 t=31290
ai zhe 	愛着	c=1 d=0.000536738 t=31290
an 	安	c=1 d=0.0258615 t=31290
an 	按	c=3 d=1.13072 t=31290
an 	案	c=1 d=0.0611149 t=31290
an gou zao 	按構造	c=1 d=0.13332 t=31290
an hei 	暗黑	c=0 d=0.097531 t=31290
an hei mo shi 	暗黑模式	c=1 d=1 t=31256
an hei zhe 	暗黑者	c=5 d=3.96526 t=31290
an hui 	安徽	c=1 d=0.161218 t=31290
an le 	按了	c=0 d=0.00118551 t=31290
an le shen me 	按了什麼	c=1 d=0.0119145 t=31290
an li 	按理	c=0 d=0.000408677 t=31290
an li 	案例	c=0 d=0.000406639 t=31290
an li lai shuo 	按理來說	c=1 d=0.00410726 t=31290
an li lai shuo 	案例來說	c=1 d=0.00408677 t=31290
an lian 	暗戀	c=8 d=3.10065 t=31290
